"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. ramorum","Laurus","Northern Europe","Europe",4,4,0,0,0,0
"P. ramorum","Leucothoe","Northern Europe","Europe",15,14,0,1,0,0
"P. ramorum","Ligustrum","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Lithocarpus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Magnolia","Northern Europe","Europe",317,293,2,13,0,9
"P. ramorum","Nephrolepis","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Nothofagus","Northern Europe","Europe",5,2,1,0,0,2
"P. ramorum","Osmanthus","Northern Europe","Europe",13,6,1,1,0,5
"P. ramorum","Parrotia","Northern Europe","Europe",8,5,0,1,0,2
"P. ramorum","Photinia","Northern Europe","Europe",4,4,0,0,0,0
"P. ramorum","Picea","Northern Europe","Europe",25,0,25,0,0,0
"P. ramorum","Pieris","Northern Europe","Europe",240,205,11,20,0,4
"P. ramorum","Pinus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Pittosporum","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Platanus","Northern Europe","Europe",1,0,0,1,0,0
"P. ramorum","Prunus","Northern Europe","Europe",4,4,0,0,0,0
"P. ramorum","Quercus","Northern Europe","Europe",65,45,0,6,0,14
"P. ramorum","Rhododendron","Northern Europe","Europe",4484,3643,348,462,1,30
"P. ramorum","Ribes","Northern Europe","Europe",2,2,0,0,0,0
"P. ramorum","Rosa","Northern Europe","Europe",3,2,0,0,0,1
"P. ramorum","Sarcococca","Northern Europe","Europe",2,0,0,0,0,2
"P. ramorum","Schima","Northern Europe","Europe",2,1,0,0,0,1
"P. ramorum","Sequoia","Northern Europe","Europe",3,0,0,3,0,0
"P. ramorum","Skimmia","Northern Europe","Europe",1,0,0,0,0,1
"P. ramorum","Sorbus","Northern Europe","Europe",3,1,0,0,0,2
"P. ramorum","Stranvaesia","Northern Europe","Europe",2,1,0,1,0,0
"P. ramorum","Syringa","Northern Europe","Europe",4,2,0,0,0,2
"P. ramorum","Taxus","Northern Europe","Europe",3,3,0,0,0,0
"P. ramorum","Tsuga","Northern Europe","Europe",10,0,10,0,0,0
"P. ramorum","Umbellularia","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Vaccinium","Northern Europe","Europe",124,105,2,15,0,2
"P. ramorum","Viburnum","Northern Europe","Europe",478,375,15,49,1,38
"P. ramorum","Viscum","Northern Europe","Europe",1,1,0,0,0,0
