"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Cornus","Caucasus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Mexico","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","North-Central Pacific","Pacific","Yes","","","Yes","Yes","","","Yes"
"Cornus","Northwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","","","Yes"
"Cornus","Middle Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Corylus","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","China","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","","Yes"
"Corylus","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Eastern Europe","Europe","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Middle Europe","Europe","No","Yes","","Yes","Yes","Yes","","Yes"
"Corylus","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Western Canada","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Southeastern Europe","Europe","Both","Yes","","Yes","Yes","Yes","","Yes"
"Corylus","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Southwestern U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Indo-China","Asia-Tropical","No","","","Yes","Yes","Yes","","Yes"
"Corymbia","East Tropical Africa","Africa","Yes","","","","","","",""
"Corymbia","West Tropical Africa","Africa","Yes","","","","","","",""
"Corymbia","Northeast Tropical Africa","Africa","Yes","","","","","","",""
"Corymbia","Northern Africa","Africa","Yes","","","","","","",""
"Corymbia","China","Asia-Temperate","Yes","","","","","","",""
"Corymbia","South Tropical Africa","Africa","Yes","","","","","","",""
"Corymbia","Southern Africa","Africa","Yes","Yes","Yes","","","","",""
"Corymbia","Australia","Australasia","No","Yes","Yes","","","","",""
"Corymbia","Indian Subcontinent","Asia-Tropical","Yes","","","","","","",""
"Corymbia","Western South America","Southern America","Yes","","","","","","",""
"Corymbia","West-Central Tropical Africa","Africa","Yes","","","","","","",""
"Corymbia","Caribbean","Southern America","Yes","","","","","","",""
"Corymbia","Western Indian Ocean","Africa","Yes","","","","","","",""
"Corymbia","Macaronesia","Africa","Yes","","","","","","",""
"Corymbia","Malesia","Asia-Tropical","Yes","","","","","","",""
"Corymbia","Papuasia","Asia-Tropical","No","","","","","","",""
"Corymbia","South-Central Pacific","Pacific","Yes","","","","","","",""
"Corymbia","Southeastern U.S.A.","Northern America","Yes","","","","","","",""
"Corymbia","Central America","Southern America","Yes","","","","","","",""
"Corymbia","Southwestern U.S.A.","Northern America","Yes","","","","","","",""
"Corymbia","North-Central Pacific","Pacific","Yes","Yes","Yes","","","","",""
"Corymbia","Eastern Asia","Asia-Temperate","Yes","Yes","","","","","",""
