"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Northern America",NA,NA,NA
"P. drechsleri","Euphorbia pulcherrima","Euphorbia","Northern America",NA,NA,NA
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Europe","Northern Europe","Sweden","Sweden"
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Asia-Temperate","Eastern Asia","Korea",NA
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Northern America","Southeastern U.S.A.","Florida","Florida"
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Asia-Temperate","Eastern Asia","Japan",NA
"P. kelmanii","Euphorbia pulcherrima","Euphorbia","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. citricola","Euphorbia resinifera","Euphorbia","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. cactorum","Euphorbia resinifera","Euphorbia","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. plurivora","Euphorbia stygiana","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","Euphorbia stygiana","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. palmivora","Dimocarpus longan","Dimocarpus","Asia-Tropical","Malesia","Philippines","Philippines"
"P. nicotianae","Dimocarpus longan","Dimocarpus","Asia-Tropical","Indo-China","Thailand","Thailand"
"P. nicotianae","Proiphys amboinensis","Proiphys","Asia-Tropical","Indian Subcontinent","India",NA
"P. palmivora","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. kelmanii","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Japan",NA
"P. citrophthora","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Japan",NA
"P. cinnamomi","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Japan",NA
"P. citricola","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Japan",NA
"P. palmivora","Eustoma russellianum","Eustoma","Europe","Northern Europe","Norway","Norway"
"P. cryptogea","Eustoma russellianum","Eustoma","Asia-Temperate","Eastern Asia","Japan",NA
"P. drechsleri","Eutaxia obovata","Eutaxia","Australasia","Australia",NA,NA
"P. cryptogea","Eutaxia obovata","Eutaxia","Asia-Temperate","Eastern Asia","Japan",NA
"P. nicotianae","Eutaxia obovata","Eutaxia","Australasia","Australia",NA,NA
"P. cryptogea","Eutaxia obovata","Eutaxia","Australasia","Australia",NA,NA
"P. cactorum","Euthamia occidentalis","Euthamia","Northern America","Southwestern U.S.A.","California","California"
"P. multivora",NA,NA,"Europe","Southwestern Europe","Spain","Spain"
"P. cryptogea",NA,"Evolvulus","Northern America",NA,NA,NA
"P. pseudocryptogea",NA,"Evolvulus","Northern America",NA,NA,NA
"P. cryptogea","Evolvulus glomeratus","Evolvulus","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. ramorum",NA,"Exochorda","Europe","Northern Europe","Great Britain","Great Britain"
"P. citrophthora","Zanthoxylum coco","Zanthoxylum","Southern America","Southern South America",NA,NA
"P. cactorum","Fagopyrum esculentum","Fagopyrum","Europe","Middle Europe","Germany","Germany"
"P. nicotianae","Fagopyrum esculentum","Fagopyrum","Asia-Tropical","Indian Subcontinent","India",NA
"P. cactorum","Fagopyrum tataricum","Fagopyrum","Europe","Middle Europe","Germany","Germany"
"P. pseudocryptogea",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. pseudosyringae",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Fagus","Northern America",NA,NA,NA
"P. × cambivora",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Fagus","Europe","Middle Europe","Germany","Germany"
"P. gonapodyides",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. ramorum",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. obscura",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Fagus","Europe","Middle Europe","Germany","Germany"
"P. pini",NA,"Fagus","Northern America","Northeastern U.S.A.","New York","New York"
"P. uniformis",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Fagus","Europe","Middle Europe","Switzerland","Switzerland"
"P. gonapodyides",NA,"Fagus","Europe","Middle Europe","Germany","Germany"
"P. occultans",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Fagus","Europe","Northern Europe","Denmark","Denmark"
"P. cactorum",NA,"Fagus","Europe","Middle Europe","Poland","Poland"
"P. cactorum",NA,"Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. syringae",NA,"Fagus","Europe","Northern Europe",NA,NA
"P. × cambivora",NA,"Fagus","Europe","Northern Europe",NA,NA
"P. cactorum",NA,"Fagus","Europe","Middle Europe","Czechoslovakia",NA
"P. × cambivora",NA,"Fagus","Europe","Middle Europe","Switzerland","Switzerland"
"P. pini",NA,"Fagus","Northern America",NA,NA,NA
"P. citrophthora",NA,"Fagus","Europe","Northern Europe",NA,NA
"P. ramorum","Fagus sylvatica","Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Fagus crenata","Fagus","Asia-Temperate","Eastern Asia","Japan",NA
"P. kernoviae","Fagus grandiflora","Fagus",NA,NA,NA,NA
"P. kernoviae","Fagus grandiflora","Fagus","Australasia","New Zealand",NA,NA
"P. ramorum","Fagus grandiflora","Fagus","Europe",NA,NA,NA
"P. ramorum","Fagus grandiflora","Fagus",NA,NA,NA,NA
"P. cactorum","Fagus grandifolia","Fagus","Europe",NA,NA,NA
"P. cactorum","Fagus grandifolia","Fagus","Northern America","Northeastern U.S.A.","Rhode I.","Rhode I."
"P. cinnamomi","Fagus grandifolia","Fagus","Northern America",NA,NA,NA
"P. cactorum","Fagus grandifolia","Fagus","Northern America","Northeastern U.S.A.","Massachusetts","Massachusetts"
"P. caryae","Fagus grandifolia","Fagus","Northern America",NA,NA,NA
"P. × cambivora","Fagus grandifolia","Fagus","Northern America",NA,NA,NA
"P. cactorum","Fagus grandifolia","Fagus","Northern America",NA,NA,NA
"P. pini","Fagus grandifolia","Fagus","Northern America","Northeastern U.S.A.","New York","New York"
"P. cactorum","Fagus grandifolia","Fagus","Northern America","Northeastern U.S.A.","New York","New York"
"P. flexuosa","Fagus hayatae","Fagus","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. cinnamomi","Fagus hayatae","Fagus","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
