"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Carex","Asia-Temperate","No","","","","","","","Yes"
"Carex","Southern America","No","","","","","","","Yes"
"Carex","Europe","No","","","","","","","Yes"
"Carex","Australasia","No","Yes","Yes","","","","","Yes"
"Carex","Northern America","No","Yes","","","","","","Yes"
"Carex","Antarctica","No","","","","","","","Yes"
"Carex","Pacific","No","","","","","","","Yes"
"Conostylis","Australasia","No","Yes","Yes","","","","",""
"Curcuma","Australasia","No","","","","","","",""
"Curcuma","Asia-Tropical","Both","","","","","","",""
"Curcuma","Africa","Yes","","","","","","",""
"Curcuma","Southern America","Yes","","","","","","",""
"Curcuma","Pacific","Yes","","","","","","",""
"Curcuma","Asia-Temperate","Both","Yes","Yes","","","","",""
"Curcuma","Northern America","Yes","","","","","","",""
"Gahnia","Pacific","No","","","","","","",""
"Gahnia","Asia-Temperate","No","","","","","","",""
"Gahnia","Asia-Tropical","No","","","","","","",""
"Gahnia","Australasia","No","Yes","Yes","","","","",""
"Garrya","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Garrya","Southern America","Both","","","Yes","Yes","Yes","Yes",""
"Helmholtzia","Australasia","No","Yes","Yes","","","","",""
"Helmholtzia","Asia-Tropical","No","","","","","","",""
"Kingia","Australasia","No","Yes","Yes","","","","",""
"Lepidosperma","Australasia","No","Yes","Yes","","","","",""
"Lepidosperma","Asia-Temperate","No","","","","","","",""
"Lepidosperma","Asia-Tropical","No","","","","","","",""
"Lepidosperma","Pacific","No","","","","","","",""
"Astelia","Pacific","No","","","","","","",""
"Astelia","Southern America","No","","","","","","",""
"Astelia","Australasia","No","Yes","Yes","","","","",""
"Astelia","Antarctica","No","","","","","","",""
"Astelia","Africa","No","","","","","","",""
"Astelia","Asia-Tropical","No","","","","","","",""
"Hesperoyucca","Northern America","No","Yes","","","","","",""
"Lilium","Europe","Both","Yes","","Yes","","Yes","","Yes"
"Lilium","Africa","Yes","Yes","","Yes","","Yes","","Yes"
"Lilium","Asia-Temperate","Both","Yes","Yes","Yes","","Yes","","Yes"
"Lilium","Northern America","Both","Yes","","Yes","","Yes","","Yes"
"Lilium","Australasia","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Lilium","Asia-Tropical","No","","","Yes","","Yes","","Yes"
"Lilium","Southern America","Yes","Yes","","Yes","","Yes","","Yes"
"Maianthemum","Asia-Temperate","No","","","","","","","Yes"
"Maianthemum","Asia-Tropical","No","","","","","","","Yes"
"Maianthemum","Northern America","No","Yes","Yes","","","","","Yes"
"Maianthemum","Europe","No","","","","","","","Yes"
"Maianthemum","Southern America","No","","","","","","","Yes"
"Pandanus","Africa","Both","","","","","","",""
"Pandanus","Asia-Tropical","No","","","","","","",""
"Pandanus","Northern America","Yes","","","","","","",""
"Pandanus","Pacific","Both","Yes","Yes","","","","",""
"Pandanus","Southern America","Yes","","","","","","",""
"Pandanus","Asia-Temperate","Both","Yes","","","","","",""
"Pandanus","Australasia","No","","","","","","",""
"Phormium","Africa","Yes","","","Yes","","","","Yes"
"Phormium","Australasia","Both","Yes","Yes","Yes","","","","Yes"
"Phormium","Southern America","Yes","","","Yes","","","","Yes"
"Phormium","Northern America","Yes","","","Yes","","","","Yes"
"Phormium","Antarctica","Yes","","","Yes","","","","Yes"
"Phormium","Pacific","Yes","","","Yes","","","","Yes"
"Phormium","Europe","Yes","Yes","","Yes","","","","Yes"
"Xeronema","Pacific","No","","","","","","",""
"Xeronema","Australasia","No","Yes","Yes","","","","",""
"Xerophyllum","Northern America","Both","Yes","Yes","","","","",""
"Xanthorrhoea","Australasia","No","Yes","Yes","","","","",""
"Allium","Northern America","Both","Yes","","Yes","","Yes","","Yes"
"Allium","Europe","Both","Yes","","Yes","","Yes","","Yes"
"Allium","Africa","Both","Yes","","Yes","","Yes","","Yes"
"Allium","Asia-Temperate","No","Yes","","Yes","","Yes","","Yes"
