"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Antidesma","Zimbabwe","South Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Northern Provinces","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Bismarck Archipelago","Papuasia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Burkina","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","China Southeast","China","Asia-Temperate",0,"","","","","","",""
"Antidesma","Marianas","Northwestern Pacific","Pacific",1,"","","","","","",""
"Antidesma","Togo","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Cambodia","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Nepal","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
"Antidesma","Mozambique","South Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Cameroon","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Senegal","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Malaya","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Vietnam","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Nicobar Is.","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Lesser Sunda Is.","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Réunion","Western Indian Ocean","Africa",0,"","","","","","",""
"Antidesma","Swaziland","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Somalia","Northeast Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Assam","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
"Antidesma","Sri Lanka","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
"Antidesma","Myanmar","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Angola","South Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Congo","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Japan","Eastern Asia","Asia-Temperate",0,"","","","","","",""
"Antidesma","Ethiopia","Northeast Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Northern Territory","Australia","Australasia",0,"","","","","","",""
"Antidesma","Sulawesi","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Christmas I.","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Mauritius","Western Indian Ocean","Africa",0,"","","","","","",""
"Antidesma","Botswana","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Kenya","East Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Kwazulu-Natal","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Malawi","South Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Bangladesh","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
