"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Ocotea floribunda","Ocotea floribunda","Southern South America","Southern America","0","","","","","","",""
"Ocotea floribunda","Ocotea floribunda","Central America","Southern America","0","","","","","","",""
"Ocotea sinuata","Ocotea sinuata","Central America","Southern America","0","Yes","Yes","","","","",""
"Ocotea sinuata","Ocotea sinuata","Mexico","Northern America","0","","","","","","",""
"Oxylobium arborescens","Oxylobium arborescens","Australia","Australasia","0","Yes","Yes","","","","",""
"Oxylobium ellipticum","Oxylobium ellipticum","Australia","Australasia","0","Yes","Yes","","","","",""
"Orothamnus zeyheri","Orothamnus zeyheri","Southern Africa","Africa","0","Yes","Yes","","","","",""
"Platysace compressa","Platysace compressa","Australia","Australasia","0","Yes","Yes","","","","",""
"Pistacia lentiscus","Pistacia lentiscus","Southeastern Europe","Europe","0","Yes","Yes","","","","",""
"Pistacia lentiscus","Pistacia lentiscus","Northern Africa","Africa","0","","","","","","",""
"Pistacia lentiscus","Pistacia lentiscus","Southwestern Europe","Europe","0","Yes","","","","","",""
"Pistacia lentiscus","Pistacia lentiscus","Western Asia","Asia-Temperate","0","","","","","","",""
"Pistacia lentiscus","Pistacia lentiscus","Macaronesia","Africa","0","","","","","","",""
"Pieris japonica","Pieris japonica","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Pieris japonica","Pieris japonica","Northeastern U.S.A.","Northern America","1","","","Yes","Yes","Yes","Yes",""
"Pieris japonica","Pieris japonica","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Pieris formosa","Pieris formosa","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","Yes",""
"Pieris formosa","Pieris formosa","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Pieris formosa","Pieris formosa","Indo-China","Asia-Tropical","0","","","Yes","Yes","Yes","Yes",""
"Pieris floribunda","Pieris floribunda","Southeastern U.S.A.","Northern America","both","","Yes","Yes","Yes","Yes","Yes",""
"Pieris floribunda","Pieris floribunda","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Rhododendron lapponicum","Rhododendron lapponicum","Subarctic America","Northern America","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Northeastern U.S.A.","Northern America","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Russian Far East","Asia-Temperate","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Eastern Canada","Northern America","0","","","","","","",""
