"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Fuchsia","Antarctica","1","","","Yes","","Yes","","Yes"
"Fuchsia","Europe","1","Yes","","Yes","","Yes","","Yes"
"Fuchsia","Asia-Tropical","1","","","Yes","","Yes","","Yes"
"Fuchsia","Australasia","both","Yes","Yes","Yes","","Yes","","Yes"
"Gaultheria","Northern America","0","Yes","Yes","Yes","Yes","Yes","","Yes"
"Gaultheria","Australasia","0","Yes","Yes","Yes","Yes","Yes","","Yes"
"Gaultheria","Asia-Tropical","0","","","Yes","Yes","Yes","","Yes"
"Gaultheria","Europe","1","Yes","Yes","Yes","Yes","Yes","","Yes"
"Gaultheria","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Gaultheria","Southern America","0","","","Yes","Yes","Yes","","Yes"
"Gaultheria","Antarctica","0","","","Yes","Yes","Yes","","Yes"
"Gaylussacia","Northern America","0","Yes","Yes","","","","",""
"Gaylussacia","Southern America","0","","","","","","",""
"Geniostoma","Asia-Temperate","0","","","","","","",""
"Geniostoma","Australasia","0","Yes","Yes","","","","",""
"Geniostoma","Pacific","0","","","","","","",""
"Geniostoma","Asia-Tropical","0","","","","","","",""
"Geniostoma","Africa","0","","","","","","",""
"Gevuina","Southern America","both","","","","","","",""
"Gompholobium","Asia-Tropical","0","","","","","","",""
"Gompholobium","Australasia","0","Yes","Yes","","","","",""
"Gonocarpus","Asia-Temperate","0","","","","","","",""
"Gonocarpus","Asia-Tropical","0","","","","","","",""
"Gonocarpus","Pacific","both","","","","","","",""
"Gonocarpus","Australasia","0","Yes","Yes","","","","",""
"Gonocarpus","Northern America","1","","","","","","",""
"Goodenia","Australasia","0","Yes","Yes","","","","",""
"Goodenia","Asia-Tropical","0","","","","","","",""
"Goodenia","Asia-Temperate","0","","","","","","",""
"Goodenia","Southern America","0","","","","","","",""
"Grevillea","Africa","1","","","Yes","","Yes","",""
"Grevillea","Asia-Tropical","both","","","Yes","","Yes","",""
"Grevillea","Southern America","1","","","Yes","","Yes","",""
"Grevillea","Northern America","1","Yes","","Yes","","Yes","",""
"Grevillea","Europe","1","Yes","","Yes","","Yes","",""
"Grevillea","Australasia","both","Yes","Yes","Yes","","Yes","",""
"Grevillea","Pacific","both","","","Yes","","Yes","",""
"Hakea","Australasia","both","Yes","Yes","","","","",""
"Hakea","Europe","1","","","","","","",""
"Hakea","Africa","1","Yes","Yes","","","","",""
"Hamamelis","Northern America","0","Yes","Yes","Yes","Yes","","",""
"Hamamelis","Asia-Temperate","both","","","Yes","Yes","","",""
"Harpullia","Asia-Tropical","0","","","","","","",""
"Harpullia","Asia-Temperate","0","","","","","","",""
"Harpullia","Australasia","0","Yes","Yes","","","","",""
"Harpullia","Northern America","1","","","","","","",""
"Harpullia","Pacific","0","","","","","","",""
"Hedycarya","Pacific","0","","","","","","",""
"Hedycarya","Australasia","0","Yes","Yes","","","","",""
"Helleborus","Europe","both","Yes","","Yes","","Yes","","Yes"
"Helleborus","Asia-Temperate","0","","","Yes","","Yes","","Yes"
"Helleborus","Northern America","1","","","Yes","","Yes","","Yes"
