"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Colocasia","Malesia","Asia-Tropical","both","Yes","","","","","",""
"Colocasia","South-Central Pacific","Pacific","1","","","","","","",""
"Colocasia","Caribbean","Southern America","1","Yes","","","","","",""
"Colocasia","Northwestern Pacific","Pacific","1","Yes","","","","","",""
"Colocasia","Australia","Australasia","1","","","","","","",""
"Colocasia","Central America","Southern America","1","","","","","","",""
"Colocasia","Indian Subcontinent","Asia-Tropical","both","Yes","","","","","",""
"Colocasia","Macaronesia","Africa","1","","","","","","",""
"Colocasia","Papuasia","Asia-Tropical","1","Yes","","","","","",""
"Colocasia","Southern South America","Southern America","1","","","","","","",""
"Colocasia","West-Central Tropical Africa","Africa","1","Yes","","","","","",""
"Colocasia","Southeastern U.S.A.","Northern America","1","","","","","","",""
"Colocasia","South-Central U.S.A.","Northern America","1","","","","","","",""
"Colocasia","West Tropical Africa","Africa","1","Yes","","","","","",""
"Colocasia","Southwestern Pacific","Pacific","1","Yes","Yes","","","","",""
"Colocasia","Southwestern Europe","Europe","1","","","","","","",""
"Colocasia","China","Asia-Temperate","0","Yes","","","","","",""
"Colocasia","Mexico","Northern America","1","","","","","","",""
"Colocasia","Western South America","Southern America","1","","","","","","",""
"Colocasia","Northern Africa","Africa","1","","","","","","",""
"Colocasia","Northeast Tropical Africa","Africa","1","Yes","","","","","",""
"Colocasia","New Zealand","Australasia","1","","","","","","",""
"Colocasia","Eastern Asia","Asia-Temperate","both","Yes","","","","","",""
"Colocasia","South Tropical Africa","Africa","1","","","","","","",""
"Colocasia","Northern South America","Southern America","1","","","","","","",""
"Colocasia","Middle Atlantic Ocean","Africa","1","","","","","","",""
"Colocasia","North-Central Pacific","Pacific","1","Yes","","","","","",""
"Colocasia","Southeastern Europe","Europe","1","","","","","","",""
"Colocasia","Brazil","Southern America","1","Yes","","","","","",""
"Colocasia","Western Indian Ocean","Africa","1","","","","","","",""
"Colocasia","Western Asia","Asia-Temperate","1","Yes","","","","","",""
"Coprosma","Papuasia","Asia-Tropical","0","","","","","","","Yes"
"Coprosma","South-Central Pacific","Pacific","0","","","","","","","Yes"
"Coprosma","Australia","Australasia","both","Yes","Yes","","","","","Yes"
"Coprosma","North-Central Pacific","Pacific","0","Yes","Yes","","","","","Yes"
"Coprosma","Southwestern Pacific","Pacific","0","","","","","","","Yes"
"Coprosma","Northern Europe","Europe","1","","","","","","","Yes"
"Coprosma","Malesia","Asia-Tropical","0","","","","","","","Yes"
"Coprosma","New Zealand","Australasia","0","Yes","Yes","","","","","Yes"
"Coprosma","Southern South America","Southern America","0","","","","","","","Yes"
"Coprosma","Subantarctic Islands","Antarctica","0","","","","","","","Yes"
"Coriaria","China","Asia-Temperate","0","","","","","","",""
"Coriaria","Western South America","Southern America","0","","","","","","",""
"Coriaria","Papuasia","Asia-Tropical","0","","","","","","",""
"Coriaria","South-Central Pacific","Pacific","0","","","","","","",""
"Coriaria","Northern Africa","Africa","both","","","","","","",""
"Coriaria","Mexico","Northern America","0","","","","","","",""
"Coriaria","Eastern Asia","Asia-Temperate","0","","","","","","",""
"Coriaria","Indian Subcontinent","Asia-Tropical","0","","","","","","",""
"Coriaria","Southwestern Europe","Europe","both","","","","","","",""
"Coriaria","Southeastern Europe","Europe","0","","","","","","",""
"Coriaria","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Coriaria","Southwestern Pacific","Pacific","0","","","","","","",""
"Coriaria","Southern South America","Southern America","0","","","","","","",""
"Coriaria","Indo-China","Asia-Tropical","0","","","","","","",""
"Coriaria","Northern South America","Southern America","0","","","","","","",""
"Coriaria","Central America","Southern America","0","","","","","","",""
"Coriaria","Malesia","Asia-Tropical","0","","","","","","",""
"Cornus","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","West-Central Tropical Africa","Africa","0","","","Yes","Yes","","","Yes"
"Cornus","Siberia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Northern Europe","Europe","0","Yes","Yes","Yes","Yes","","","Yes"
"Cornus","Southwestern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Cornus","Western South America","Southern America","0","","","Yes","Yes","","","Yes"
"Cornus","Southeastern U.S.A.","Northern America","0","","Yes","Yes","Yes","","","Yes"
"Cornus","Eastern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Cornus","Middle Europe","Europe","0","","","Yes","Yes","","","Yes"
"Cornus","East Tropical Africa","Africa","0","","","Yes","Yes","","","Yes"
"Cornus","Russian Far East","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Central America","Southern America","0","","","Yes","Yes","","","Yes"
"Cornus","Southwestern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","South-Central U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","South Tropical Africa","Africa","0","","","Yes","Yes","","","Yes"
"Cornus","Northern South America","Southern America","0","","","Yes","Yes","","","Yes"
"Cornus","Southeastern Europe","Europe","0","Yes","","Yes","Yes","","","Yes"
"Cornus","Indo-China","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Cornus","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","North-Central U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","Mongolia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Eastern Canada","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Cornus","Western Canada","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","China","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Western Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Subarctic America","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","Northeast Tropical Africa","Africa","0","","","Yes","Yes","","","Yes"
"Cornus","New Zealand","Australasia","1","","","Yes","Yes","","","Yes"
"Cornus","Caucasus","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus","Mexico","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","North-Central Pacific","Pacific","1","","","Yes","Yes","","","Yes"
"Cornus","Northwestern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Cornus","Middle Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Corylus","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","China","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Western Asia","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Macaronesia","Africa","1","","","Yes","Yes","Yes","","Yes"
"Corylus","North-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Eastern Europe","Europe","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Middle Europe","Europe","0","Yes","","Yes","Yes","Yes","","Yes"
"Corylus","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Russian Far East","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Northwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Northern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Siberia","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Caucasus","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Western Canada","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Southwestern Europe","Europe","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Southeastern Europe","Europe","both","Yes","","Yes","Yes","Yes","","Yes"
"Corylus","Mongolia","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
